2025-11-06 15:38:20 [info] L-Connect swap -> MB_on
2025-11-06 15:38:22 [info] hb state=boost cpu=12 gpu=0 game=True
2025-11-06 15:38:24 [info] L-Connect swap -> MB_on
2025-11-06 15:38:24 [info] auto-sync fans -> MB_on due to external plan change
2025-11-06 15:38:37 [info] hb state=boost cpu=10 gpu=0 game=True
2025-11-06 15:38:52 [info] hb state=boost cpu=12 gpu=0 game=True
2025-11-06 15:39:08 [info] hb state=boost cpu=9 gpu=0 game=False
2025-11-06 15:39:25 [info] L-Connect swap -> MB_off
2025-11-06 15:39:25 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 15:39:27 [info] L-Connect swap -> MB_off
2025-11-06 15:39:27 [info] auto-sync fans -> MB_off due to external plan change
2025-11-06 15:39:41 [info] hb state=normal cpu=9 gpu=0 game=False
2025-11-06 15:39:56 [info] hb state=normal cpu=14 gpu=0 game=False
2025-11-06 15:40:11 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 15:40:26 [info] hb state=normal cpu=3 gpu=0 game=False
2025-11-06 15:40:42 [info] hb state=normal cpu=3 gpu=0 game=False
2025-11-06 15:40:57 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 15:41:12 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 15:41:28 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 15:41:43 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 15:41:58 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 15:42:14 [info] hb state=normal cpu=9 gpu=0 game=False
2025-11-06 15:42:29 [info] hb state=normal cpu=2 gpu=0 game=False
2025-11-06 15:42:44 [info] hb state=normal cpu=13 gpu=0 game=False
2025-11-06 15:43:00 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 15:43:15 [info] hb state=normal cpu=11 gpu=0 game=False
2025-11-06 15:43:30 [info] hb state=normal cpu=11 gpu=0 game=False
